Iter Time Y(1) Y(2) 
4 5 71.000000 79.000000 
9 10 97.000000 78.000000 
14 15 137.000000 81.000000 
19 20 168.000000 93.000000 
24 25 216.000000 118.000000 
29 30 251.000000 145.000000 
34 35 254.000000 204.000000 
39 40 245.000000 261.000000 
44 45 202.000000 327.000000 
49 50 153.000000 359.000000 
54 55 107.000000 372.000000 
59 60 64.000000 350.000000 
64 65 49.000000 303.000000 
69 70 39.000000 235.000000 
74 75 37.000000 183.000000 
79 80 35.000000 152.000000 
84 85 36.000000 122.000000 
89 90 49.000000 100.000000 
94 95 66.000000 82.000000 
99 100 85.000000 66.000000 
104 105 116.000000 63.000000 
109 110 163.000000 70.000000 
114 115 203.000000 82.000000 
119 120 254.000000 126.000000 
124 125 259.000000 193.000000 
129 130 241.000000 258.000000 
134 135 170.000000 335.000000 
139 140 114.000000 346.000000 
144 145 75.000000 316.000000 
149 150 52.000000 279.000000 
154 155 35.000000 234.000000 
159 160 24.000000 181.000000 
164 165 36.000000 138.000000 
169 170 42.000000 108.000000 
174 175 37.000000 101.000000 
179 180 37.000000 85.000000 
184 185 49.000000 67.000000 
189 190 56.000000 59.000000 
194 195 90.000000 51.000000 
199 200 126.000000 56.000000 
204 205 186.000000 63.000000 
209 210 254.000000 85.000000 
214 215 327.000000 128.000000 
219 220 338.000000 237.000000 
224 225 279.000000 372.000000 
229 230 172.000000 449.000000 
234 235 101.000000 464.000000 
239 240 56.000000 420.000000 
244 245 41.000000 352.000000 
249 250 29.000000 293.000000 
254 255 31.000000 242.000000 
259 260 24.000000 198.000000 
264 265 23.000000 158.000000 
269 270 25.000000 118.000000 
274 275 29.000000 97.000000 
279 280 31.000000 90.000000 
284 285 46.000000 68.000000 
289 290 64.000000 59.000000 
294 295 93.000000 47.000000 
299 300 124.000000 50.000000 
304 305 168.000000 71.000000 
309 310 215.000000 99.000000 
314 315 270.000000 146.000000 
319 320 293.000000 229.000000 
324 325 242.000000 331.000000 
329 330 132.000000 402.000000 
334 335 86.000000 394.000000 
339 340 62.000000 349.000000 
344 345 49.000000 288.000000 
349 350 51.000000 212.000000 
354 355 41.000000 165.000000 
359 360 43.000000 131.000000 
364 365 66.000000 103.000000 
369 370 96.000000 79.000000 
374 375 125.000000 81.000000 
379 380 182.000000 93.000000 
384 385 251.000000 108.000000 
389 390 286.000000 174.000000 
394 395 304.000000 232.000000 
399 400 248.000000 348.000000 
404 405 162.000000 404.000000 
409 410 92.000000 411.000000 
414 415 47.000000 354.000000 
419 420 36.000000 289.000000 
424 425 24.000000 242.000000 
429 430 23.000000 199.000000 
434 435 20.000000 158.000000 
439 440 19.000000 121.000000 
444 445 28.000000 90.000000 
449 450 43.000000 74.000000 
454 455 57.000000 61.000000 
459 460 79.000000 59.000000 
464 465 102.000000 61.000000 
469 470 147.000000 63.000000 
474 475 220.000000 77.000000 
479 480 313.000000 100.000000 
484 485 400.000000 172.000000 
489 490 365.000000 348.000000 
494 495 204.000000 517.000000 
499 500 88.000000 542.000000 
504 505 42.000000 483.000000 
509 510 25.000000 383.000000 
514 515 17.000000 285.000000 
519 520 9.000000 221.000000 
524 525 7.000000 168.000000 
529 530 9.000000 120.000000 
534 535 11.000000 84.000000 
539 540 9.000000 59.000000 
544 545 11.000000 44.000000 
549 550 15.000000 40.000000 
554 555 24.000000 27.000000 
559 560 43.000000 18.000000 
564 565 70.000000 18.000000 
569 570 115.000000 19.000000 
574 575 203.000000 25.000000 
579 580 292.000000 29.000000 
584 585 438.000000 56.000000 
589 590 575.000000 139.000000 
594 595 542.000000 400.000000 
599 600 190.000000 748.000000 
604 605 48.000000 730.000000 
609 610 19.000000 588.000000 
614 615 15.000000 421.000000 
619 620 13.000000 328.000000 
624 625 9.000000 253.000000 
629 630 11.000000 201.000000 
634 635 8.000000 158.000000 
639 640 11.000000 114.000000 
644 645 16.000000 87.000000 
649 650 24.000000 68.000000 
654 655 41.000000 56.000000 
659 660 52.000000 45.000000 
664 665 80.000000 36.000000 
669 670 101.000000 43.000000 
674 675 138.000000 52.000000 
679 680 206.000000 59.000000 
684 685 298.000000 80.000000 
689 690 347.000000 150.000000 
694 695 381.000000 248.000000 
699 700 256.000000 432.000000 
704 705 111.000000 518.000000 
709 710 36.000000 486.000000 
714 715 26.000000 380.000000 
719 720 22.000000 298.000000 
724 725 17.000000 231.000000 
729 730 21.000000 170.000000 
734 735 20.000000 141.000000 
739 740 19.000000 117.000000 
744 745 16.000000 91.000000 
749 750 22.000000 76.000000 
754 755 32.000000 56.000000 
759 760 48.000000 43.000000 
764 765 81.000000 32.000000 
769 770 137.000000 27.000000 
774 775 198.000000 32.000000 
779 780 288.000000 47.000000 
784 785 412.000000 66.000000 
789 790 529.000000 160.000000 
794 795 439.000000 396.000000 
799 800 196.000000 652.000000 
804 805 61.000000 633.000000 
809 810 23.000000 522.000000 
814 815 7.000000 400.000000 
819 820 5.000000 299.000000 
824 825 7.000000 232.000000 
829 830 7.000000 173.000000 
834 835 10.000000 128.000000 
839 840 15.000000 94.000000 
844 845 19.000000 78.000000 
849 850 24.000000 63.000000 
854 855 38.000000 53.000000 
859 860 58.000000 37.000000 
864 865 85.000000 29.000000 
869 870 122.000000 35.000000 
874 875 165.000000 48.000000 
879 880 221.000000 59.000000 
884 885 307.000000 93.000000 
889 890 388.000000 163.000000 
894 895 307.000000 339.000000 
899 900 175.000000 484.000000 
904 905 87.000000 498.000000 
909 910 27.000000 427.000000 
914 915 18.000000 324.000000 
919 920 18.000000 238.000000 
924 925 22.000000 190.000000 
929 930 20.000000 148.000000 
934 935 26.000000 114.000000 
939 940 26.000000 87.000000 
944 945 40.000000 68.000000 
949 950 61.000000 52.000000 
954 955 79.000000 48.000000 
959 960 120.000000 42.000000 
964 965 160.000000 51.000000 
969 970 217.000000 71.000000 
974 975 293.000000 96.000000 
979 980 420.000000 140.000000 
984 985 387.000000 308.000000 
989 990 255.000000 492.000000 
994 995 108.000000 547.000000 
999 1000 63.000000 475.000000 
1004 1005 40.000000 358.000000 
1009 1010 38.000000 288.000000 
1014 1015 32.000000 228.000000 
1019 1020 24.000000 181.000000 
1024 1025 29.000000 133.000000 
1029 1030 43.000000 96.000000 
1034 1035 50.000000 84.000000 
1039 1040 69.000000 68.000000 
1044 1045 92.000000 69.000000 
1049 1050 142.000000 57.000000 
1054 1055 194.000000 57.000000 
1059 1060 309.000000 70.000000 
1064 1065 426.000000 141.000000 
1069 1070 418.000000 313.000000 
1074 1075 232.000000 549.000000 
1079 1080 85.000000 575.000000 
1084 1085 23.000000 517.000000 
1089 1090 12.000000 389.000000 
1094 1095 7.000000 300.000000 
1099 1100 5.000000 228.000000 
1104 1105 4.000000 172.000000 
1109 1110 5.000000 130.000000 
1114 1115 6.000000 99.000000 
1119 1120 9.000000 74.000000 
1124 1125 12.000000 57.000000 
1129 1130 16.000000 42.000000 
1134 1135 24.000000 29.000000 
1139 1140 32.000000 26.000000 
1144 1145 52.000000 15.000000 
1149 1150 86.000000 16.000000 
1154 1155 142.000000 15.000000 
1159 1160 217.000000 13.000000 
1164 1165 378.000000 18.000000 
1169 1170 596.000000 42.000000 
1174 1175 829.000000 145.000000 
1179 1180 538.000000 697.000000 
1184 1185 104.000000 994.000000 
1189 1190 29.000000 809.000000 
1194 1195 13.000000 627.000000 
1199 1200 4.000000 493.000000 
1204 1205 1.000000 386.000000 
1209 1210 1.000000 296.000000 
1214 1215 2.000000 220.000000 
1219 1220 4.000000 168.000000 
1224 1225 7.000000 121.000000 
1229 1230 9.000000 88.000000 
1234 1235 13.000000 66.000000 
1239 1240 19.000000 53.000000 
1244 1245 32.000000 47.000000 
1249 1250 50.000000 42.000000 
1254 1255 85.000000 36.000000 
1259 1260 132.000000 37.000000 
1264 1265 192.000000 46.000000 
1269 1270 266.000000 56.000000 
1274 1275 371.000000 92.000000 
1279 1280 429.000000 189.000000 
1284 1285 351.000000 373.000000 
1289 1290 173.000000 513.000000 
1294 1295 73.000000 508.000000 
1299 1300 47.000000 430.000000 
1304 1305 37.000000 354.000000 
1309 1310 26.000000 272.000000 
1314 1315 21.000000 224.000000 
1319 1320 21.000000 182.000000 
1324 1325 24.000000 147.000000 
1329 1330 25.000000 127.000000 
1334 1335 38.000000 95.000000 
1339 1340 49.000000 76.000000 
1344 1345 74.000000 65.000000 
1349 1350 99.000000 59.000000 
1354 1355 142.000000 52.000000 
1359 1360 199.000000 69.000000 
1364 1365 309.000000 78.000000 
1369 1370 372.000000 152.000000 
1374 1375 349.000000 287.000000 
1379 1380 243.000000 430.000000 
1384 1385 112.000000 517.000000 
1389 1390 57.000000 480.000000 
1394 1395 19.000000 412.000000 
1399 1400 11.000000 331.000000 
1404 1405 6.000000 239.000000 
1409 1410 9.000000 172.000000 
1414 1415 7.000000 130.000000 
1419 1420 3.000000 92.000000 
1424 1425 4.000000 63.000000 
1429 1430 5.000000 48.000000 
1434 1435 6.000000 35.000000 
1439 1440 7.000000 28.000000 
1444 1445 11.000000 24.000000 
1449 1450 18.000000 18.000000 
1454 1455 30.000000 13.000000 
1459 1460 44.000000 13.000000 
1464 1465 69.000000 19.000000 
1469 1470 101.000000 23.000000 
1474 1475 163.000000 19.000000 
1479 1480 250.000000 15.000000 
1484 1485 387.000000 26.000000 
1489 1490 603.000000 59.000000 
1494 1495 711.000000 270.000000 
1499 1500 329.000000 782.000000 
1504 1505 58.000000 844.000000 
1509 1510 17.000000 668.000000 
1514 1515 8.000000 509.000000 
1519 1520 6.000000 403.000000 
1524 1525 1.000000 308.000000 
1529 1530 0.000000 232.000000 
1534 1535 0.000000 161.000000 
1539 1540 0.000000 116.000000 
1544 1545 0.000000 83.000000 
1549 1550 0.000000 62.000000 
1554 1555 0.000000 43.000000 
1559 1560 0.000000 34.000000 
1564 1565 0.000000 26.000000 
1569 1570 0.000000 19.000000 
1574 1575 0.000000 13.000000 
1579 1580 0.000000 8.000000 
