Iter Time Y(1) Y(2) 
4 5 71.000000 79.000000 
5 6 74.000000 74.000000 
6 7 78.000000 78.000000 
7 8 85.000000 78.000000 
8 9 90.000000 80.000000 
9 10 97.000000 78.000000 
10 11 106.000000 80.000000 
11 12 117.000000 76.000000 
12 13 125.000000 80.000000 
13 14 133.000000 75.000000 
14 15 137.000000 81.000000 
15 16 146.000000 84.000000 
16 17 152.000000 88.000000 
17 18 151.000000 89.000000 
18 19 164.000000 90.000000 
19 20 168.000000 93.000000 
20 21 181.000000 96.000000 
21 22 184.000000 104.000000 
22 23 197.000000 103.000000 
23 24 206.000000 111.000000 
24 25 216.000000 118.000000 
25 26 224.000000 124.000000 
26 27 235.000000 129.000000 
27 28 237.000000 138.000000 
28 29 243.000000 140.000000 
29 30 251.000000 145.000000 
30 31 250.000000 164.000000 
31 32 245.000000 173.000000 
32 33 247.000000 181.000000 
33 34 239.000000 199.000000 
34 35 254.000000 204.000000 
35 36 262.000000 206.000000 
36 37 272.000000 210.000000 
37 38 264.000000 223.000000 
38 39 248.000000 248.000000 
39 40 245.000000 261.000000 
40 41 222.000000 288.000000 
41 42 216.000000 300.000000 
42 43 217.000000 301.000000 
43 44 207.000000 315.000000 
44 45 202.000000 327.000000 
45 46 190.000000 341.000000 
46 47 177.000000 353.000000 
47 48 162.000000 364.000000 
48 49 156.000000 371.000000 
49 50 153.000000 359.000000 
50 51 136.000000 372.000000 
51 52 124.000000 381.000000 
52 53 128.000000 375.000000 
53 54 117.000000 383.000000 
54 55 107.000000 372.000000 
55 56 99.000000 368.000000 
56 57 82.000000 368.000000 
57 58 72.000000 374.000000 
58 59 73.000000 363.000000 
59 60 64.000000 350.000000 
60 61 56.000000 342.000000 
61 62 58.000000 327.000000 
62 63 53.000000 317.000000 
63 64 47.000000 315.000000 
64 65 49.000000 303.000000 
65 66 46.000000 277.000000 
66 67 39.000000 271.000000 
67 68 39.000000 255.000000 
68 69 39.000000 242.000000 
69 70 39.000000 235.000000 
70 71 36.000000 233.000000 
71 72 36.000000 218.000000 
72 73 30.000000 209.000000 
73 74 30.000000 198.000000 
74 75 37.000000 183.000000 
75 76 37.000000 179.000000 
76 77 38.000000 169.000000 
77 78 41.000000 160.000000 
78 79 36.000000 161.000000 
79 80 35.000000 152.000000 
80 81 35.000000 140.000000 
81 82 35.000000 131.000000 
82 83 40.000000 124.000000 
83 84 38.000000 119.000000 
84 85 36.000000 122.000000 
85 86 38.000000 117.000000 
86 87 40.000000 114.000000 
87 88 43.000000 108.000000 
88 89 47.000000 104.000000 
89 90 49.000000 100.000000 
90 91 52.000000 95.000000 
91 92 55.000000 95.000000 
92 93 59.000000 92.000000 
93 94 65.000000 85.000000 
94 95 66.000000 82.000000 
95 96 67.000000 82.000000 
96 97 69.000000 80.000000 
97 98 71.000000 70.000000 
98 99 80.000000 67.000000 
99 100 85.000000 66.000000 
100 101 87.000000 65.000000 
101 102 90.000000 64.000000 
102 103 98.000000 63.000000 
103 104 111.000000 61.000000 
104 105 116.000000 63.000000 
105 106 124.000000 63.000000 
106 107 136.000000 63.000000 
107 108 143.000000 67.000000 
108 109 148.000000 67.000000 
109 110 163.000000 70.000000 
110 111 173.000000 70.000000 
111 112 179.000000 77.000000 
112 113 189.000000 78.000000 
113 114 195.000000 85.000000 
114 115 203.000000 82.000000 
115 116 218.000000 87.000000 
116 117 223.000000 99.000000 
117 118 229.000000 110.000000 
118 119 238.000000 119.000000 
119 120 254.000000 126.000000 
120 121 258.000000 136.000000 
121 122 264.000000 145.000000 
122 123 257.000000 160.000000 
123 124 254.000000 173.000000 
124 125 259.000000 193.000000 
125 126 250.000000 207.000000 
126 127 248.000000 222.000000 
127 128 246.000000 236.000000 
128 129 243.000000 252.000000 
129 130 241.000000 258.000000 
130 131 230.000000 269.000000 
131 132 212.000000 287.000000 
132 133 202.000000 297.000000 
133 134 190.000000 318.000000 
134 135 170.000000 335.000000 
135 136 158.000000 351.000000 
136 137 147.000000 353.000000 
137 138 135.000000 354.000000 
138 139 121.000000 351.000000 
139 140 114.000000 346.000000 
140 141 100.000000 346.000000 
141 142 96.000000 337.000000 
142 143 89.000000 330.000000 
143 144 78.000000 323.000000 
144 145 75.000000 316.000000 
145 146 75.000000 311.000000 
146 147 68.000000 297.000000 
147 148 54.000000 299.000000 
148 149 47.000000 292.000000 
149 150 52.000000 279.000000 
150 151 50.000000 266.000000 
151 152 44.000000 256.000000 
152 153 39.000000 246.000000 
153 154 35.000000 241.000000 
154 155 35.000000 234.000000 
155 156 29.000000 223.000000 
156 157 25.000000 209.000000 
157 158 24.000000 193.000000 
158 159 23.000000 188.000000 
159 160 24.000000 181.000000 
160 161 26.000000 172.000000 
161 162 24.000000 164.000000 
162 163 29.000000 154.000000 
163 164 33.000000 142.000000 
164 165 36.000000 138.000000 
165 166 38.000000 131.000000 
166 167 34.000000 131.000000 
167 168 37.000000 123.000000 
